Column,Missing Values Count,Percentage
Age,0,0.0
Number of sexual partners,26,3.0303030303030303
First sexual intercourse,7,0.8158508158508158
Num of pregnancies,56,6.526806526806526
Smokes,13,1.5151515151515151
Smokes (years),13,1.5151515151515151
Smokes (packs/year),13,1.5151515151515151
Hormonal Contraceptives,108,12.587412587412588
Hormonal Contraceptives (years),108,12.587412587412588
IUD,117,13.636363636363635
IUD (years),117,13.636363636363635
STDs,105,12.237762237762238
STDs (number),105,12.237762237762238
STDs:condylomatosis,105,12.237762237762238
STDs:cervical condylomatosis,105,12.237762237762238
STDs:vaginal condylomatosis,105,12.237762237762238
STDs:vulvo-perineal condylomatosis,105,12.237762237762238
STDs:syphilis,105,12.237762237762238
STDs:pelvic inflammatory disease,105,12.237762237762238
STDs:genital herpes,105,12.237762237762238
STDs:molluscum contagiosum,105,12.237762237762238
STDs:AIDS,105,12.237762237762238
STDs:HIV,105,12.237762237762238
STDs:Hepatitis B,105,12.237762237762238
STDs:HPV,105,12.237762237762238
STDs: Number of diagnosis,0,0.0
STDs: Time since first diagnosis,787,91.72494172494171
STDs: Time since last diagnosis,787,91.72494172494171
Dx:Cancer,0,0.0
Dx:CIN,0,0.0
Dx:HPV,0,0.0
Dx,0,0.0
Hinselmann,0,0.0
Schiller,0,0.0
Citology,0,0.0
Biopsy,0,0.0
